table_row,ordering_cd,st_country_cd,us_or_foreign,state_country_of_origin,CY_2010,CY_2011,CY_2012,CY_2013,CY_2014,CY_ALL
189,793,AEX,(Foreign),UNITED ARAB EMIRATES,7,10,20,18,54,109
190,797,GBX,(Foreign),UNITED KINGDOM,4299,4292,5211,5806,6487,26095
191,801,UYX,(Foreign),URUGUAY,6,2,9,10,9,36
192,805,UZX,(Foreign),UZBEKISTAN,0,0,1,0,0,1
193,809,VUX,(Foreign),VANUATU,1,0,0,0,0,1
194,813,VEX,(Foreign),VENEZUELA,13,18,25,14,12,82
195,817,VNX,(Foreign),VIET NAM,2,0,2,5,6,15
196,833,ZWX,(Foreign),ZIMBABWE,0,0,0,1,1,2
197,1001,USA,(U.S.),ALL U.S. ORIGIN,107791,108622,121026,133593,144621,615653
198,1002,FOR,(Foreign),ALL FOREIGN ORIGIN,111823,115883,132129,144242,156057,660134
199,1000,ALL,(ALL),ALL ORIGINS,219614,224505,253155,277835,300678,1275787
